Year,Beijing_Enterprise,Beijing_Output,Tianjin_Enterprise,Tianjin_Output,Hebei_Enterprise,Hebei_Output,Shanxi_Enterprise,Shanxi_Output,InnerMongolia_Enterprise,InnerMongolia_Output,Liaoning_Enterprise,Liaoning_Output,Jilin_Enterprise,Jilin_Output,Heilongjiang_Enterprise,Heilongjiang_Output,Shanghai_Enterprise,Shanghai_Output,Jiangsu_Enterprise,Jiangsu_Output,Zhejiang_Enterprise,Zhejiang_Output,Anhui_Enterprise,Anhui_Output,Fujian_Enterprise,Fujian_Output,Jiangxi_Enterprise,Jiangxi_Output,Shandong_Enterprise,Shandong_Output,Henan_Enterprise,Henan_Output,Hubei_Enterprise,Hubei_Output,Hunan_Enterprises,Hunan_Output,Guangdong_Enterprise,Guangdong_Output,Guangxi_Enterprise,Guangxi_Output,Hainan_Enterprise,Hainan_Output,Chongqing_Enterprise,Chongqing_Output,Sichuan_Enterprise,Sichuan_Output,Guizhou_Enterprise,Guizhou_Output,Yunnan_Enterprise,Yunnan_Output,Tibet_Enterprise,Tibet_Output,Shaanxi_Enterprise,Shaanxi_Output,Gansu_Enterprise,Gansu_Output,Qinghai_Enterprise,Qinghai_Output,Ningxia_Enterprise,Ningxia_Output,Xinjiang_Enterprise,Xinjiang_Output
  1977,4036,145.41,3785,132.95,11093,160.42,8254,81.8,NA,44.08,12077,323.64,7796,104.34,13092,202.09,8572,458.4,23252,297.12,19088,107.62,13140,99,7837,51.68,10126,63.97,16732,262.24,14191,110.24,15587,139.15,14736,104.81,18365,NA,6356,54.27,NA,NA,10413,87.81,27377,173.71,7346,32.15,6596,46.22,NA,1.01,9593,82.07,3705,62.86,1271,11.34,1021,11.92,3491,29.22
  1978,2911,165.07,3816,151.01,12076,187.7,8391,95.24,3838,32.31,13242,365.68,8734,110.44,11263,203.1,6975,493.41,24977,305.11,20270,118.73,11428,110.58,7278,55.47,8945,65.6,15345,266.55,12142,152.97,13006,151.1,16419,129.03,16500,168.91,8129,60.42,1649,7.17,8037,64.34,28306,188.85,4208,37.11,5394,47.69,NA,1.13,8663,91.56,3797,67.49,1391,13.57,880,12.16,2027,28.43
  1979,3240,182.75,3851,163.87,12919,199.12,8542,107.59,6461,51.6,13175,388.52,8752,118.24,12035,213.91,5866,534.92,26160,348.96,23027,141.37,11820,120.02,8079,63.77,9897,74.82,15808,285.24,12737,171.48,13143,184.73,17581,148.61,17669,181.96,7958,64.66,1618,7.46,9178,73.7,34139,213.97,4322,40.91,5717,55.77,136,1.14,8984,99.48,3619,69.96,1306,13.73,875,13.09,2172,30.41
  1980,3571,205.82,1024,183.45,13793,210.75,8937,111.65,6625,54.59,14645,427.63,9701,126.31,12829,226.3,6233,574.16,29685,415.06,26888,175.6,12932,124.58,9005,71.86,10111,82.33,16764,310.15,13327,182.54,13407,212.3,18670,163.97,18449,198.83,9143,69.52,1589,7.05,10963,77.23,37601,240.41,5008,41.5,6289,58.66,147,1.31,9221,103.7,3730,74.41,1274,14.38,889,12.72,2286,32.94
  1981,3622,210.56,4143,190.76,14029,208.47,8957,109.6,6400,57.29,15349,427.18,9865,127.42,12819,237.71,6753,592.02,30677,443.18,28950,200.68,13182,140.31,9065,76.33,10069,85.78,17111,326.46,13362,193.41,13955,233.19,18312,171.89,19253,226.26,9100,74.65,1505,6.87,11706,84.53,39899,243.56,5050,40.86,6029,65.83,257,1.49,9129,102.8,3653,72.15,1178,12.25,877,11.73,2429,34.77
  1982,3709,220.55,4256,201.04,14345,219.45,9228,127.81,6461,69.3,15613,445.6,10068,139.61,13136,256.82,7181,604.43,30874,471.51,29485,215.93,14401,157.16,9621,82.57,10628,90.96,17765,353.31,14226,212.83,14905,249.08,18300,188.29,20027,245.54,8973,81.75,1434,7.73,11727,89.97,40512,272.25,5517,49.11,6130,74.16,315,1.24,9693,111.17,3579,78.06,1344,14.73,889,13.58,2575,38.9
  1983,3880,238.93,4186,214.73,14223,240.15,9413,147.47,6385,76.45,15960,494,10324,157.84,13260,282.99,7442,627.92,30759,525.75,30723,245.4,14756,183.56,9766,89.26,11526,100.79,18008,394.7,14463,227.45,15758,290.79,18379,200.94,19755,275.25,8819,87.66,1372,8.96,12122,107.97,40555,306.97,5526,57.77,5996,84.43,132,1.37,9566,124.48,3592,84.73,1292,15.37,943,15.34,2604,46.1
  1984,4174,270.29,4365,234.95,16212,279.74,10204,166.42,6281,84.52,17538,561.07,11014,186.2,13933,312.22,7295,692.5,33955,629.09,37578,312.85,18771,234.32,10310,108.32,13258,117.09,19249,472.75,14803,258.52,19030,329.17,20084,227.6,20810,336.45,8600,97.28,1421,11.45,13102,119.48,43534,364.67,6706,70.7,8000,98.88,123,1.21,10603,138.44,3749,98.45,1303,17.92,992,17.72,2697,52.75
  1985,4777,315.68,4546,285.29,15819,341.2,10045,194.36,6485,105.24,18391,696.26,10795,231.22,14268,368.49,8422,808.5,33486,826.45,40473,435.01,16786,271.15,10306,141.4,12554,157.96,18482,588.1,14775,325.33,16850,414.81,18204,276.64,18416,438.91,7503,123.51,1526,16.49,9924,140.81,36158,456.6,6427,90,6419,119.76,136,1.38,10800,170.96,4073,121,1293,22.65,1262,22.6,3520,73.02
  1986,4911,336.55,4770,309.14,18761,375.07,10824,214.27,6808,116.64,19998,767.91,11823,256.11,15204,437.37,8762,890.6,38698,975.91,43821,519.01,21332,323.59,10466,159.37,14491,183.85,20679,634.57,16120,358.59,22102,468.4,20430,319.88,21429,522.35,8556,143.22,1523,17.67,12454,160.42,42642,499.39,6752,92.78,8162,133.88,236,1.15,11713,187.64,5129,135.02,1460,26.79,1462,25.95,3833,79.71
  1987,5070,388.42,4871,352.61,19270,456.05,10987,247.91,7213,138,21036,887.1,11910,320.35,14982,526.57,9328,990.12,38985,1216.24,41857,647.96,20827,415.02,11349,205.02,14654,225.56,21651,800.9,16202,429.26,20676,560.78,20539,387.28,22159,711.04,8651,178.95,838,17.15,11556,192.1,38338,599.7,5945,108.82,7187,165.02,200,1.17,11934,217.76,5187,153.77,1411,31.3,1508,30.69,3885,94.79
  1988,5196,495.65,5112,431.14,19684,577.44,11157,315.6,7204,175.42,21410,1080.28,12136,398.43,14642,652.6,9668,1180.73,38853,1605.76,42202,850.84,21587,503.53,11792,296.02,15163,291.91,22530,1073.34,16157,552.92,20386,694.76,20991,489.05,23041,1056.47,8883,231.66,825,24.58,11303,252.96,37422,786.43,5545,143.44,6018,216.33,114,1.13,11876,278.9,5422,186.82,1478,42.51,1568,40.42,3870,122.74
  1989,5336,602.66,5345,493.58,19400,705.87,11249,390.12,7349,218.22,21344,1277.31,12290,459.04,14652,730.34,10282,1373.48,37919,1891.9,41046,993.49,21511,528.64,12341,367.46,14697,335.79,22571,1371.21,16372,669.89,19953,807.46,21233,569.1,24623,1321.33,9128,279.76,832,31.6,10976,299.11,36239,934.59,5239,173.28,6055,271.01,208,1.33,11964,335.96,5663,223.78,1485,54.18,1617,51.97,4069,153.73
  1990,5409,625.9,5432,524.53,19133,754.97,11365,423.95,7482,231.41,21211,1301.68,12221,478.24,14684,779.31,10109,1477.04,37489,2061.29,40119,1049.48,20901,602.65,12556,393.65,14230,343.14,22489,1516.83,16082,713.08,19665,816.49,21060,586.67,24694,1379.98,8981,298.92,844,36.09,10763,299.34,35480,980.58,5134,188.39,5977,307.97,211,1.53,11801,359.6,5896,248.16,1450,55.25,1620,56.87,4192,174.24
  1991,5409,730.21,5540,578.66,19204,892.38,11127,468.74,7582,266.7,21379,1493.73,12101,539.35,14507,888.83,10203,1747.59,37004,2377.85,40737,1315.16,20877,744.68,12635,475.03,14534,390.58,22752,1761.82,16118,825.99,19248,924.96,20803,654.82,25541,2018.62,9129,354.01,886,45.74,10780,342.46,35609,1137.46,5077,211.5,5933,350.36,217,1,11725,414.67,6032,281.55,1477,60.51,1594,62.63,4142,218.61
  1992,5308,860.42,5909,697.91,19164,1116.29,10628,550.93,7505,312,21942,1825.63,11951,662.93,14260,983.13,10144,2153.61,37129,3352.73,39262,1713.37,20649,1100.01,12493,605.49,13853,480.65,23145,2250.53,16531,1037.33,18289,1111.82,20276,790.54,25536,2696.47,9323,457.04,860,60.71,9693,419.13,30569,1395.47,4727,255.2,5467,420.37,223,2.44,11741,477.32,6062,323.53,1457,68.22,1552,74.14,4134,250.01
  1993,7530,1168.35,10747,1065.83,21137,1608.76,11227,738.9,8217,445.71,26463,2611.41,13072,890.43,15920,1233.14,10254,2880.62,39497,4888.59,39528,2543.73,22447,1493.81,14577,970.05,15357,673.71,24345,3310.17,18093,1461.98,19763,1587.3,22083,1064.4,29176,4085.35,11066,690.24,1303,104.35,9083,584.74,30156,2011.22,5455,321.31,5726,603.83,230,2.63,12824,601.53,6390,444.92,1498,94.3,1682,111.22,4473,361.85
  1994,9312,1553.12,11280,1293.79,22274,1995.6,11466,881.6,8393,519.91,28070,3180.13,13007,1061.58,16807,1555.04,11496,3664.65,39195,6551.65,37633,3363.63,21719,1740.7,15914,1263.99,16257,882.48,24383,4334.8,21407,1926.59,19671,2060.31,22978,1298.22,32163,5325.35,11406,881.91,1057,117.88,9713,718.54,31300,2377.41,5039,371.9,5620,805.89,232,2.91,12763,767.96,6739,561.95,1523,127.06,1658,135.9,4693,455.81
  1995,9636,1450.27,10671,1382.43,24376,2240.14,11476,977.41,9496,544.25,29497,3001.69,13140,1047.46,19006,1662.04,15396,3880.68,42676,6819.92,35256,3526.71,24276,2196.09,19166,1558.04,18699,837.97,27392,4784.46,23440,2344.1,21021,2537.66,23931,1370.84,35258,6325.19,12603,964.28,1330,129.1,11474,765.11,38351,2551.71,7512,411.27,6389,880.44,306,3.23,13122,804.95,7182,594.12,1841,129.32,1724,154.14,5160,510.55
  1996,15002,1522.29,10490,1635.96,22797,2677.71,11180,1116.31,9602,619.93,31410,3294.78,12867,1202.75,18641,1896.1,15007,4247.12,38506,7726.34,33001,3934.75,22189,2569.1,21968,1770.54,19031,930.22,27245,5741.13,26135,2812.45,20769,2662.21,24250,1659.04,36294,7308.51,12640,1010.64,1045,153.4,11077,823.47,33583,2730.13,8361,472.04,5989,967.41,324,4.14,12839,919.66,6994,646.26,1968,138.06,1651,177.06,4971,580.19
  1997,17739,1716.2,11020,1729.94,21133,3014.23,10409,1195.17,8208,674.96,29911,3556.89,11831,1317.63,17272,2063.93,13861,4602.19,37087,8033.34,27207,4058.45,19885,1480.76,19756,2028.43,16369,1027.84,23494,6282.4,25986,3056.48,19779,3063.05,22919,1740.59,32721,8201.71,12293,1032.89,972,171.13,9185,870.55,20340,2115.64,7138,513.26,5515,1003.62,314,5.51,11709,991.84,6258,721.8,2146,147.41,1605,188.96,4716,654.58
  1998,4497,1816.48,5412,2062.69,7597,2719.1,3925,1106.72,1489,574.63,6249,3147.86,2790,1225.47,3524,1739.73,9320,5191.43,17957,8053.03,13475,4702.43,3887,1533.9,6106,2037.52,3937,819.79,11402,6398.39,10450,3036.3,7399,2733.06,4554,1287.43,17980,9738.56,3365,928.67,640,187.6,2000,766.79,4980,1918.37,2048,507.91,2516,1017.29,342,7.07,2685,926.58,1641,661.56,573,148.18,520,183.2,1820,606.78
  1999,5225,1999.97,5213,2261.49,7418,2994.58,3345,1096.83,1392,640.68,5816,3390.14,2793,1366.92,2957,1854.57,9205,5452.91,18001,8915.44,13301,5191.56,3784,1661.44,5549,2210.28,3730,854.65,11391,6944.52,9922,3109.18,6874,2831.7,4790,1414.12,18879,10538.17,3142,911,541,180.7,1975,858.55,4538,1895.82,2119,551.93,2212,1002.88,329,8.42,2589,1042.58,2245,667.53,559,160.77,496,197.66,1625,631.84
  2000,4572,2565.38,5430,2606.38,7261,3426.05,3275,1216.86,1373,748.97,6017,4249.46,2728,1679.91,2666,2460.88,8574,6204.52,18309,10452.87,14575,6603.65,3680,1824.64,6011,2616.12,3549,932.21,11679,8311.53,9930,3494.96,6282,3064.43,4808,1627.94,19695,12480.93,3155,1003.24,596,202.87,2040,962.32,4394,2076.96,2087,631.64,2124,1063.36,362,9.87,2553,1184.58,2851,840.58,445,196.08,409,239.11,1455,852.01
  2001,4356,2908.82,5561,2940.4,7696,3766.85,3308,1396.73,1379,830.32,5847,4480.32,2608,1876.65,2500,2365.44,9762,7003.9,19684,11747.83,18626,7882.47,3698,2123.61,6583,2945.02,3283,1016.02,12268,9377.37,9720,3843.18,6197,3239.51,4961,1811.22,20721,14035.35,3126,1059.23,589,219.5,2054,1072.83,4572,2304.51,2054,696.63,2031,1157.4,378,12.83,2440,1338.2,3153,951.21,391,194.16,410,268.84,1300,876.57
  2002,4551,3173.48,5346,3323.12,7618,4294.68,3474,1717.88,1440,994.75,6017,4888.02,2572,2171.17,2593,2487.63,10057,7740.56,21476,13865.86,21896,9779.04,3918,2610.03,7462,3676.37,3076,1188.8,13468,11497.53,9671,4303.66,6183,3589.26,5438,2099.4,22619,16378.6,2911,1180.55,601,264.58,2060,1228.37,4908,2737.35,2067,797.9,2072,1320.62,344,14.98,2461,1505.45,3204,1035.52,399,207.59,388,268.62,1267,917.03
  2003,4019,3810.36,5341,4049.61,7923,5708.76,3613,2439.3,1653,1355.7,6842,6112.96,2284,2662.27,2567,2909.98,11098,10342.82,23862,18036.74,25526,12864.23,4158,3659.56,9208,4953.74,3051,1472.33,16177,15379.54,9091,5365.65,6271,4030.11,5967,2611.45,24494,21513.46,2871,1436.43,619,333.46,2241,1588,5448,3387.43,2129,977.64,1995,1557.17,325,16.43,2493,1879.26,2884,1147.52,400,247.9,418,352.81,1254,1113.14
  2004,6871,4880.89,6462,5375.09,9284,7846.4,5013,3771.36,2275,2095.94,10635,8603.9,3280,3247.3,3297,3464,15766,12885.01,40848,24836.47,41358,18729.06,4778,4567.23,11918,6783.42,4019,2211.98,23915,21338.24,11474,7236.47,6232,4960.25,7523,3506.12,34584,26720.87,3749,1886.84,588,384.67,2634,2142.73,7413,4463.74,2545,1249.7,2332,2093.98,187,17.88,3012,2426.71,1927,1505.18,463,461.41,662,553.66,1430,1656.02
  2005,6300,6946.07,6144,6774.1,9936,11008.12,4441,4850.91,2447,2995.59,11510,10814.51,2774,3791.96,2887,4714.91,14809,15767.51,32224,32707.09,40275,23106.76,5277,5915.59,12396,8135.98,4403,2978.88,27540,30522.86,10867,10487.38,6813,6066.96,8022,4754.86,35157,35942.74,3687,2547.32,616,473.06,2943,2525.87,7959,6178.03,2585,1690.4,2362,2596.21,197,19.48,2997,3397.71,1733,1988.26,404,486.86,685,671.54,1445,2102.53
